Date,CreativeID,Time Zone,MarketCode,MarketName,Network,Station,Program Aired,Air Type,CreativeID,CreativeName,CreativeLength,Spend
11/28/2019, 5:52 PM,Local,2400,Duluth-Superior               ,BBGRS,K D L H - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 5:52 PM,Local,3140,Houston                       ,BBGRS,K U B E - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 5:52 PM,Local,3750,Lubbock                       ,BBGRS,K L C W - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 5:52 PM,Local,3860,Harlingen-Wslco-Brownsville-Mc,BBGRS,X R I O - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 5:52 PM,Local,4050,Minot-Bismarck-Dickinson-Glend,BBGRS,K X M A - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 5:52 PM,Local,4190,Montgomery-Selma              ,BBGRS,W B M M - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 5:53 PM,Local,4050,Minot-Bismarck-Dickinson-Glend,BBGRS,K X M A - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 6:22 PM,Local,2870,Ft. Wayne                     ,BBGRS,W I S E - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 6:22 PM,Local,5640,Tallahassee-Thomasville       ,BBGRS,W T L F - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 6:52 PM,Local,2870,Ft. Wayne                     ,BBGRS,W I S E - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 6:52 PM,Local,5640,Tallahassee-Thomasville       ,BBGRS,W T L F - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 8:21 PM,Local,4420,Norfolk-Portsmouth-Newport New,BBGRS,W S K Y - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 8:51 PM,Local,4420,Norfolk-Portsmouth-Newport New,BBGRS,W S K Y - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 9:52 PM,Local,4490,Oklahoma City                 ,BBGRS,K O C B - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
